event_id,high_risk_flag,pred_loss_informed_proba,pred_pre_loss_proba,pred_loss_informed_flag,pred_pre_loss_flag
EVT-00001,0,0.0018984342780400303,0.061930712424138924,0,0
EVT-00002,0,0.02325541645806789,0.15547669657746888,0,0
EVT-00003,0,0.03403912216444739,0.5130579681787595,0,1
EVT-00004,0,0.0223317764594791,0.44792905154889867,0,0
EVT-00005,0,0.0223317764594791,0.44792905154889867,0,0
EVT-00006,0,0.01950973475027551,0.5120521389508366,0,1
EVT-00007,0,0.016925299056338584,0.4467423856268551,0,0
EVT-00008,0,0.01838838392077949,0.32887732010997683,0,0
EVT-00009,0,0.030666807055174453,0.5109259141513496,0,1
EVT-00010,1,0.9584610561681044,0.4594299697758709,1,0
EVT-00011,0,0.02802465666363816,0.3311772409984243,0,0
EVT-00012,0,0.0029754526414574904,0.03583725499605301,0,0
EVT-00013,0,0.024972918158496542,0.35575869018170225,0,0
EVT-00014,0,0.01197435460608546,0.3144826132998734,0,0
EVT-00015,0,0.0282960112179199,0.6157581023629323,0,1
EVT-00016,0,0.0005507134593135363,0.021245476385819535,0,0
EVT-00017,0,0.013327937484700849,0.29390375114044764,0,0
EVT-00018,0,0.008723985356306422,0.05405051554699415,0,0
EVT-00019,0,0.018046330721281846,0.683546203452632,0,1
EVT-00020,0,0.02802465666363816,0.6124828362369831,0,1
EVT-00021,0,0.022890802596805836,0.6074830790703438,0,1
EVT-00022,0,0.02613188070758775,0.3211224204240983,0,0
EVT-00023,0,0.003511431446827566,0.035528567607189546,0,0
EVT-00024,1,0.9623251209069614,0.5544181490508308,1,1
EVT-00025,0,0.014666807055174452,0.432616613611552,0,0
EVT-00026,0,0.02273325848746901,0.47534232256286646,0,0
EVT-00027,0,0.02522383565760267,0.32044472625533926,0,0
EVT-00028,0,0.005927679533716403,0.49266357819155315,0,0
EVT-00029,0,0.005673612954430005,0.03719194820569662,0,0
EVT-00030,0,0.012794742974309825,0.7153884428277311,0,1
EVT-00031,0,0.01950973475027551,0.5120521389508366,0,1
EVT-00032,0,0.003532386546896002,0.26179267899884295,0,0
EVT-00033,0,0.001012406947890819,0.03603608978096953,0,0
EVT-00034,0,0.021353075480719495,0.5551280582055161,0,1
EVT-00035,0,0.01197435460608546,0.3144826132998734,0,0
EVT-00036,1,0.975181966058612,0.4600082422465248,1,0
EVT-00037,0,0.007959584488665114,0.34664522180783813,0,0
EVT-00038,0,0.016954274473035,0.42943649605461776,0,0
EVT-00039,0,0.023976679720170688,0.48166916266015863,0,0
EVT-00040,0,0.032671682661108675,0.7666224596986625,0,1
EVT-00041,0,0.024115126128656572,0.19794630012591286,0,0
EVT-00042,0,0.026216286048582674,0.3083058533120379,0,0
EVT-00043,0,0.005927679533716403,0.5439004935824585,0,1
EVT-00044,0,0.03520286367506429,0.28515752817900863,0,0
EVT-00045,0,0.022897790601522812,0.3284897077103409,0,0
EVT-00046,0,0.029310982111019887,0.3503868572425555,0,0
EVT-00047,0,0.014135385268065136,0.3604379512872545,0,0
EVT-00048,0,0.015756972512951304,0.133890934280506,0,0
EVT-00049,0,0.0223317764594791,0.44792905154889867,0,0
EVT-00050,0,0.01679200751654846,0.6370890936177408,0,1
EVT-00051,0,0.01950973475027551,0.5120521389508366,0,1
EVT-00052,0,0.02042777128822621,0.3958963311027148,0,0
EVT-00053,0,0.01954697255726736,0.3731687313916801,0,0
EVT-00054,0,0.025313115115326097,0.4574284909270434,0,0
EVT-00055,0,0.012741899183337695,0.3154992691152062,0,0
EVT-00056,0,0.019496093155943337,0.14305814723287993,0,0
EVT-00057,0,0.017754282318099855,0.6664063155381525,0,1
EVT-00058,1,0.9882207863413058,0.572569295108708,1,1
EVT-00059,0,0.025313115115326097,0.4574284909270434,0,0
EVT-00060,0,0.016030286282656923,0.10700214119615227,0,0
EVT-00061,0,0.019708997396588518,0.4407108599382844,0,0
EVT-00062,0,0.02522383565760267,0.11661425599847075,0,0
EVT-00063,0,0.03292534873188304,0.5839181495992809,0,1
EVT-00064,0,0.0230037751412662,0.11952807413638886,0,0
EVT-00065,0,0.03343179221557956,0.6710370723215744,0,1
EVT-00066,0,0.030459960292194874,0.48864005904188773,0,0
EVT-00067,0,0.01954697255726736,0.3731687313916801,0,0
EVT-00068,0,0.003532386546896002,0.26179267899884295,0,0
EVT-00069,1,0.9769875284849399,0.596738869448946,1,1
EVT-00070,0,0.019548290171225068,0.16216278124111758,0,0
EVT-00071,1,0.984576498261183,0.5845618627384661,1,1
EVT-00072,0,0.017393718922152752,0.11896664599656351,0,0
EVT-00073,0,0.023704190226757012,0.31348815065104313,0,0
EVT-00074,0,0.015526265543772885,0.35119270418380627,0,0
EVT-00075,0,0.009058979217858181,0.4419251898090802,0,0
EVT-00076,0,0.028358928898769897,0.6144211071424178,0,1
EVT-00077,0,0.020174319980668206,0.3153070241818088,0,0
EVT-00078,0,0.026520814695656283,0.1279244465984401,0,0
EVT-00079,0,0.016925299056338584,0.6442644379036971,0,1
EVT-00080,0,0.02612474470671336,0.09348108080549652,0,0
EVT-00081,0,0.0,0.03112573705639369,0,0
EVT-00082,0,0.006316113950936865,0.050127641735245074,0,0
EVT-00083,1,0.844498138252653,0.7666224596986625,1,1
EVT-00084,0,0.005530981465338206,0.09538685982664814,0,0
EVT-00085,0,0.45447406855233075,0.6009928133501509,0,1
EVT-00086,0,0.005673612954430005,0.03719194820569662,0,0
EVT-00087,0,0.014666807055174452,0.13498331772519667,0,0
EVT-00088,0,0.0230037751412662,0.11952807413638886,0,0
EVT-00089,0,0.0005507134593135363,0.01711914498121788,0,0
EVT-00090,0,0.03111091324343743,0.7359701441174481,0,1
EVT-00091,0,0.026216286048582674,0.3083058533120379,0,0
EVT-00092,0,0.020630444749574126,0.31726369607209315,0,0
EVT-00093,0,0.03310256525346667,0.21932973553468654,0,0
EVT-00094,0,0.005843848994040472,0.0762089345147558,0,0
EVT-00095,0,0.01324579571065539,0.5315831003958744,0,1
EVT-00096,0,0.022890802596805836,0.6074830790703438,0,1
EVT-00097,0,0.029547405621145897,0.5062132067790412,0,1
EVT-00098,0,0.01679200751654846,0.6370890936177408,0,1
EVT-00099,0,0.019818750813085106,0.7051528176021419,0,1
EVT-00100,0,0.030117019508269297,0.4639854186769713,0,0
EVT-00101,0,0.026166914445329755,0.32970435041208684,0,0
EVT-00102,0,0.016925299056338584,0.4467423856268551,0,0
EVT-00103,1,0.970054936204724,0.6509039830562298,1,1
EVT-00104,0,0.015756972512951304,0.133890934280506,0,0
EVT-00105,0,0.010135018300528636,0.4618598121460932,0,0
EVT-00106,0,0.03406936809880245,0.47926436610027434,0,0
EVT-00107,0,0.027204970724302086,0.6291987102289129,0,1
EVT-00108,1,0.9701013075423366,0.7666224596986625,1,1
EVT-00109,0,0.0153263713211101,0.26947485710784097,0,0
EVT-00110,0,0.02867431019369501,0.3289025481080631,0,0
EVT-00111,0,0.017065523856643557,0.6842229689048035,0,1
EVT-00112,0,0.02867431019369501,0.3289025481080631,0,0
EVT-00113,0,0.032671682661108675,0.7666224596986625,0,1
EVT-00114,1,0.9823465843690543,0.7575111542135281,1,1
EVT-00115,0,0.010620574513352132,0.4961257073786462,0,0
EVT-00116,0,0.028358928898769897,0.6144211071424178,0,1
EVT-00117,0,0.014666807055174452,0.432616613611552,0,0
EVT-00118,0,0.023704190226757012,0.31348815065104313,0,0
EVT-00119,0,0.010135018300528636,0.4618598121460932,0,0
EVT-00120,0,0.010661932709780818,0.5874258428201588,0,1
EVT-00121,0,0.01954697255726736,0.3731687313916801,0,0
EVT-00122,0,0.016925299056338584,0.4467423856268551,0,0
EVT-00123,0,0.003532386546896002,0.024395063782410284,0,0
EVT-00124,0,0.019548290171225068,0.3595797937292251,0,0
EVT-00125,0,0.003769468890295764,0.05892474076328817,0,0
EVT-00126,0,0.012741899183337695,0.3154992691152062,0,0
EVT-00127,0,0.013327937484700849,0.29390375114044764,0,0
EVT-00128,0,0.01324579571065539,0.5315831003958744,0,1
EVT-00129,0,0.024972918158496542,0.4627005344489743,0,0
EVT-00130,0,0.018900236466345626,0.10131397911120596,0,0
EVT-00131,0,0.007959584488665114,0.34664522180783813,0,0
EVT-00132,0,0.008810857824550827,0.407750160885735,0,0
EVT-00133,0,0.01954697255726736,0.3731687313916801,0,0
EVT-00134,0,0.0018984342780400303,0.06353122690988115,0,0
EVT-00135,0,0.026520814695656283,0.6661174423179758,0,1
EVT-00136,0,0.003511431446827566,0.024082466514137105,0,0
EVT-00137,0,0.021353075480719495,0.5551280582055161,0,1
EVT-00138,0,0.024115126128656572,0.19794630012591286,0,0
EVT-00139,0,0.007959584488665114,0.34218341208908165,0,0
EVT-00140,0,0.022278295504808508,0.33290090124712096,0,0
EVT-00141,0,0.0029754526414574904,0.0476872303311242,0,0
EVT-00142,0,0.01838838392077949,0.32887732010997683,0,0
EVT-00143,0,0.02384926214920388,0.5424388347549982,0,1
EVT-00144,0,0.026225962287286277,0.6658733845025538,0,1
EVT-00145,0,0.026216286048582674,0.10498379718457515,0,0
EVT-00146,0,0.0036197042848161026,0.24576896350578964,0,0
EVT-00147,0,0.021005282387554315,0.10718256594346752,0,0
EVT-00148,1,0.9733234308933121,0.5874258428201588,1,1
EVT-00149,1,0.9691043010510002,0.6157581023629323,1,1
EVT-00150,0,0.010661932709780818,0.09720088212684751,0,0
EVT-00151,0,0.003511431446827566,0.035528567607189546,0,0
EVT-00152,0,0.0011490183456710657,0.36638077175214356,0,0
EVT-00153,0,0.025106316278490106,0.5352541298514532,0,1
EVT-00154,0,0.01594646955591719,0.4130869866855707,0,0
EVT-00155,0,0.017393718922152752,0.11896664599656351,0,0
EVT-00156,0,0.0036197042848161026,0.24576896350578964,0,0
EVT-00157,0,0.004064705117212539,0.3284897077103409,0,0
EVT-00158,0,0.010620574513352132,0.4961257073786462,0,0
EVT-00159,0,0.019496093155943337,0.14305814723287993,0,0
EVT-00160,0,0.026520814695656283,0.6661174423179758,0,1
EVT-00161,0,0.008092699985070725,0.5713998674312024,0,1
EVT-00162,0,0.0029770336972639927,0.01981059285332476,0,0
EVT-00163,1,0.9523673090094741,0.29390375114044764,1,0
EVT-00164,0,0.01646908862386333,0.5928157412386904,0,1
EVT-00165,0,0.01679200751654846,0.6370890936177408,0,1
EVT-00166,0,0.016525205373604693,0.3826825152927904,0,0
EVT-00167,1,0.9706547880475768,0.55940935384423,1,1
EVT-00168,0,0.003532386546896002,0.26179267899884295,0,0
EVT-00169,0,0.03736154388950589,0.6009928133501509,0,1
EVT-00170,0,0.023704190226757012,0.31348815065104313,0,0
EVT-00171,0,0.0011490183456710657,0.36638077175214356,0,0
EVT-00172,0,0.028308737186860406,0.4577540173730049,0,0
EVT-00173,0,0.02154483128754622,0.5253366465818026,0,1
EVT-00174,0,0.0029770336972639927,0.01981059285332476,0,0
EVT-00175,0,0.013327194157225488,0.16589461213494883,0,0
EVT-00176,0,0.0036197042848161026,0.015615462476982644,0,0
EVT-00177,1,0.984576498261183,0.6664063155381525,1,1
EVT-00178,0,0.011169663358659812,0.3088735567090226,0,0
EVT-00179,0,0.0029754526414574904,0.03286871527443415,0,0
EVT-00180,0,0.0005507134593135363,0.01711914498121788,0,0
EVT-00181,0,0.007959584488665114,0.34218341208908165,0,0
EVT-00182,0,0.030459960292194874,0.48864005904188773,0,0
EVT-00183,0,0.030368610443286325,0.596738869448946,0,1
